City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,76.17,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
2,Swan River,CA,83.71,few clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
3,Bethel,US,88.02,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
7,Marienburg,PL,79.84,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
25,Parbhani,IN,81.21,broken clouds,19.2667,76.7833,City Palace
29,Hamilton,US,81.88,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
32,Komsomolskiy,UZ,79.52,few clouds,40.4272,71.7189,Ikathouse
36,Ponta Do Sol,PT,83.71,broken clouds,32.6667,-17.1,Hotel do Campo
39,Harper,LR,79.92,broken clouds,4.375,-7.7169,Screensaver
51,Mahajanga,MG,77.18,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
55,Ca Mau,VN,80.44,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
60,Butaritari,KI,82.44,broken clouds,3.0707,172.7902,Isles Sunset Lodge
63,Bengkulu,ID,76.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
64,Labuhan,ID,78.66,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
66,Galesong,ID,77.02,few clouds,-5.3166,119.3661,Sapriadi Appy
69,Lamu,KE,75.42,few clouds,-2.2717,40.902,Lamu House
71,Pulivendla,IN,82.8,overcast clouds,14.4167,78.2333,Kothabalaji
72,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
75,North Platte,US,77.32,broken clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
77,San Policarpo,PH,79.48,overcast clouds,12.1791,125.5072,Manong Aklan Resort
81,Baragua,CU,80.98,moderate rain,21.6967,-78.6328,Hotel Itabo
82,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Ende,ID,75.42,clear sky,-8.8432,121.6623,Dwi Putra Hotel - Ende
95,Muros,ES,82.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
99,Dingle,PH,76.44,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
103,Rexburg,US,79.86,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
105,Coahuayana,MX,83.68,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
106,Kita,ML,83.91,light rain,13.0349,-9.4895,Hôtel Chat Rouge
107,Atuona,PF,77.7,scattered clouds,-9.8,-139.0333,Villa Enata
109,Sao Gabriel Da Cachoeira,BR,76.69,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
110,Marsh Harbour,BS,84.31,broken clouds,26.5412,-77.0636,Abaco Beach Resort
111,Vradiyivka,UA,77.92,clear sky,47.862,30.5919,Берлога
116,Russellville,US,81.14,clear sky,35.2784,-93.1338,Hampton Inn Russellville
119,Lorengau,PG,80.8,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
124,Hithadhoo,MV,82.02,broken clouds,-0.6,73.0833,Scoop Guest House
128,Torbay,CA,78.76,light rain,47.6666,-52.7314,Gallows Cove
130,Kudahuvadhoo,MV,82.83,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
134,Domoni,KM,76.68,few clouds,-12.2569,44.5319,Al Djadid
140,Madang,PG,77.05,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
142,Stephenville,US,89.17,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
145,Saint Anthony,US,81.01,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
148,Caravelas,BR,78.01,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
151,Presidente Epitacio,BR,83.86,clear sky,-21.7633,-52.1156,Hotel Itaverá
152,Tres Lagoas,BR,87.31,clear sky,-20.7511,-51.6783,Druds Express Hotel
157,Samarai,PG,77.77,broken clouds,-10.6167,150.6667,Nuli Sapi
159,Inirida,CO,83.61,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
162,Certesti,RO,82.09,clear sky,46.0167,27.6167,Villa Bassetto
163,Swinoujscie,PL,80.91,clear sky,53.9105,14.2471,Hotel Interferie Medical SPA
164,Sarab,IR,82.99,broken clouds,38.6066,44.9883,مسجد امام رضا
166,Gizo,SB,81.82,overcast clouds,-8.103,156.8419,Imagination Island
