City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,76.17,59,1,1.99,clear sky
1,Ushuaia,AR,-54.8,-68.3,38.82,70,40,0.0,scattered clouds
2,Swan River,CA,52.1058,-101.2676,83.71,29,23,19.42,few clouds
3,Bethel,US,41.3712,-73.414,88.02,74,75,4.0,broken clouds
4,Nanortalik,GL,60.1432,-45.2371,50.25,90,100,8.28,overcast clouds
5,Bambous Virieux,MU,-20.3428,57.7575,72.21,76,19,15.97,few clouds
6,Hobart,AU,-42.8794,147.3294,55.26,61,75,4.0,broken clouds
7,Marienburg,PL,54.0359,19.0266,79.84,38,71,8.84,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,74.05,82,97,17.02,light rain
9,Khatanga,RU,71.9667,102.5,52.3,66,100,4.03,overcast clouds
10,Iqaluit,CA,63.7506,-68.5145,43.75,83,100,17.6,overcast clouds
11,Airai,TL,-8.9266,125.4092,55.18,72,5,3.4,clear sky
12,Busselton,AU,-33.65,115.3333,47.08,86,0,8.08,clear sky
13,Albany,US,42.6001,-73.9662,81.48,66,79,4.0,broken clouds
14,Nouakchott,MR,18.0858,-15.9785,91.33,76,18,14.52,few clouds
15,Lashio,MM,22.9333,97.75,68.56,100,100,1.45,overcast clouds
16,Hasaki,JP,35.7333,140.8333,70.2,95,100,6.58,overcast clouds
17,Barrow,US,71.2906,-156.7887,44.62,87,90,21.85,light rain
18,Broome,US,42.2506,-75.833,72.64,80,90,1.99,overcast clouds
19,Kodiak,US,57.79,-152.4072,51.31,58,75,9.22,broken clouds
20,Tessalit,ML,20.1986,1.0114,108.52,6,7,14.29,clear sky
21,Vestmannaeyjar,IS,63.4427,-20.2734,57.72,71,26,24.85,scattered clouds
22,Port Elizabeth,ZA,-33.918,25.5701,59.09,70,74,14.72,broken clouds
23,Avarua,CK,-21.2078,-159.775,69.85,78,40,9.22,scattered clouds
24,Mataura,NZ,-46.1927,168.8643,45.48,81,99,6.38,overcast clouds
25,Parbhani,IN,19.2667,76.7833,81.21,62,79,6.13,broken clouds
26,Paita,PE,-5.0892,-81.1144,71.26,69,65,8.99,broken clouds
27,Laguna,US,38.421,-121.4238,91.24,62,1,5.75,haze
28,Yellowknife,CA,62.456,-114.3525,58.6,86,64,4.12,light rain
29,Hamilton,US,39.1834,-84.5333,81.88,64,1,1.99,clear sky
30,Bluff,NZ,-46.6,168.3333,45.81,77,96,26.35,overcast clouds
31,Cherskiy,RU,68.75,161.3,43.18,75,74,8.14,broken clouds
