City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-08-08 21:03:53,-21.2,-175.2,71.76,78,75,0.0
1,Ostrovnoy,RU,2021-08-08 21:03:23,68.0531,39.5131,49.96,76,0,8.79
2,Jamestown,US,2021-08-08 20:59:13,42.097,-79.2353,83.01,57,68,5.99
3,Busselton,AU,2021-08-08 21:04:25,-33.65,115.3333,53.1,57,100,23.69
4,Chuy,UY,2021-08-08 21:04:30,-33.6971,-53.4616,60.33,90,100,7.87
5,Hilo,US,2021-08-08 21:00:49,19.7297,-155.09,82.26,85,31,3.0
6,Francisco Sa,BR,2021-08-08 21:06:57,-16.4758,-43.4883,67.41,62,9,13.24
7,Opuwo,NA,2021-08-08 21:06:57,-18.0607,13.84,63.7,22,13,3.06
8,Hermanus,ZA,2021-08-08 21:03:52,-34.4187,19.2345,56.8,91,100,19.51
9,Albany,US,2021-08-08 21:01:02,42.6001,-73.9662,87.03,51,15,5.68
10,Ushuaia,AR,2021-08-08 21:01:37,-54.8,-68.3,35.37,93,100,6.85
11,Georgetown,MY,2021-08-08 21:03:52,5.4112,100.3354,81.9,73,40,9.22
12,Atuona,PF,2021-08-08 21:03:32,-9.8,-139.0333,77.13,81,16,20.4
13,Talnakh,RU,2021-08-08 21:06:58,69.4865,88.3972,56.62,63,2,1.66
14,Tuktoyaktuk,CA,2021-08-08 21:03:45,69.4541,-133.0374,44.69,75,100,10.54
15,Ranong,TH,2021-08-08 21:06:58,9.9658,98.6348,79.29,88,84,6.62
16,Cape Town,ZA,2021-08-08 21:06:36,-33.9258,18.4232,57.61,89,75,4.0
17,Te Anau,NZ,2021-08-08 21:04:24,-45.4167,167.7167,32.72,94,86,0.2
18,Thompson,CA,2021-08-08 21:03:51,55.7435,-97.8558,64.56,94,90,5.75
19,Kapaa,US,2021-08-08 21:03:30,22.0752,-159.319,82.38,67,77,3.0
20,Klaksvik,FO,2021-08-08 21:03:23,62.2266,-6.589,50.92,93,94,6.35
21,East London,ZA,2021-08-08 21:03:33,-33.0153,27.9116,66.2,51,59,17.87
22,Port Blair,IN,2021-08-08 21:03:43,11.6667,92.75,82.08,83,100,11.39
23,Namatanai,PG,2021-08-08 21:04:18,-3.6667,152.4333,78.73,81,72,6.24
24,Kerman,IR,2021-08-08 21:06:59,30.2832,57.0788,80.06,15,0,5.82
25,Telma,RU,2021-08-08 21:06:59,52.6983,103.7097,51.01,78,87,1.03
26,The Valley,AI,2021-08-08 21:07:00,18.217,-63.0578,85.86,77,43,18.66
27,Tasiilaq,GL,2021-08-08 21:03:19,65.6145,-37.6368,46.56,95,100,18.63
28,Kabo,CF,2021-08-08 21:07:00,7.6994,18.629,68.92,93,71,2.06
29,Poum,NC,2021-08-08 21:03:46,-20.2333,164.0167,68.85,64,80,20.85
30,Bereda,ES,2021-08-08 21:03:48,43.2686,-7.5406,59.58,91,75,3.47
31,Bluff,NZ,2021-08-08 21:03:22,-46.6,168.3333,38.8,62,93,11.23
32,Fort Nelson,CA,2021-08-08 21:00:16,58.8053,-122.7002,72.91,48,72,1.34
